# CSPro 7.1
COUNTCASES			countcases_function.hgt
GETPROPERTY			getproperty_function.hgt
LOGTEXT				logtext_function.hgt
SETPROPERTY			setproperty_function.hgt
WARNING				warning_function.hgt

# CSPro 7.0
ASK					ask_statement.hgt
COMPRESS			compress_function.hgt
CONFIG				config_statement.hgt
DECOMPRESS			decompress_function.hgt
DIAGNOSTICS			diagnostics_function.hgt
FORCASE				forcase_statement.hgt
GETCASELABEL		getcaselabel_function.hgt
ISVERIFIED			isverified_function.hgt
KEYLIST				keylist_function.hgt
SETCASELABEL		setcaselabel_function.hgt
SETOPERATORID		setoperatorid_function.hgt
SYNCCONNECT			syncconnect_function.hgt
SYNCDATA			syncdata_function.hgt
SYNCDISCONNECT		syncdisconnect_function.hgt
SYNCFILE			syncfile_function.hgt
SYNCSERVER			syncserver_function.hgt
TIMESTAMP			timestamp_function.hgt

# CSPro 6.3
LOADSETTING			loadsetting_function.hgt
SAVESETTING			savesetting_function.hgt
UUID				uuid_function.hgt

# CSPro 6.2
CONNECTION			connection_function.hgt
GETIMAGE			getimage_function.hgt
PROMPT				prompt_function.hgt
ROUND				round_function.hgt

# CSPro 6.1
DIRCREATE			dircreate_function.hgt
DIREXIST			direxist_function.hgt
DIRLIST				dirlist_function.hgt
GETDEVICEID			getdeviceid_function.hgt
LIST
PUBLISHDATE			publishdate_function.hgt
SETOCCLABEL			setocclabel_function.hgt
SYNC				sync_function.hgt

# CSPro 6.0
GETOCCLABEL			getocclabel_function.hgt
GETOS				getos_function.hgt
GETVALUE			getvalue_function.hgt
GETVALUEALPHA		getvalue_function.hgt
GETVALUENUMERIC		getvalue_function.hgt
HIDEOCC				hideocc_function.hgt
SETVALUE			setvalue_function.hgt
SHOWARRAY			showarray_function.hgt
SHOWOCC				showocc_function.hgt
STRING				string_statement.hgt

# CSPro 5.0
ALIAS				alias_statement.hgt
CHANGEKEYBOARD		changekeyboard_function.hgt
DATEADD				dateadd_function.hgt
DATEVALID			datevalid_function.hgt
FILEEMPTY			fileempty_function.hgt
HAS					has_operator.hgt
SEEKMAX				seekmax_function.hgt
SEEKMIN				seekmin_function.hgt
SETOUTPUT			setoutput_function.hgt

# Functions
ABS					abs_function.hgt
ACCEPT				accept_function.hgt
ADJLBA				adjlba_function.hgt
ADJLBI				adjlbi_function.hgt
ADJUBA				adjuba_function.hgt
ADJUBI				adjubi_function.hgt
AVERAGE				average_function.hgt
CLEAR				clear_function.hgt
CLOSE				close_function.hgt
CMCODE				cmcode_function.hgt
COMPARE				compare_function.hgt
CONCAT				concat_function.hgt
COUNT				count_function.hgt
COUNTVALID			countnonspecial_function.hgt
COUNTNONSPECIAL		countnonspecial_function.hgt
CUROCC				curocc_function.hgt
DATEDIFF			datediff_function.hgt
DELCASE				delcase_function.hgt
DELETE				delete_function.hgt
DEMENU				deprecated_features.hgt
DEMODE				demode_function.hgt
DISPLAY				errmsg_function.hgt
EDIT				edit_function.hgt
EDITNOTE			editnote_function.hgt
ERRMSG				errmsg_function.hgt
EXEC				deprecated_features.hgt
EXECPFF				execpff_function.hgt
EXECSYSTEM			execsystem_function_desktop.hgt
EXP					exp_function.hgt
FILECONCAT			fileconcat_function.hgt
FILECOPY			filecopy_function.hgt
FILECREATE			filecreate_function.hgt
FILEDELETE			filedelete_function.hgt
FILEEXIST			fileexist_function.hgt
FILENAME			filename_function.hgt
FILEREAD			fileread_function.hgt
FILERENAME			filerename_function.hgt
FILESIZE			filesize_function.hgt
FILEWRITE			filewrite_function.hgt
FIND				find_function.hgt
GETBUFFER			getbuffer_function.hgt
GETCAPTURETYPE		getcapturetype_function.hgt
GETDECK				getdeck_function.hgt
GETLABEL			getlabel_function.hgt
GETLANGUAGE			getlanguage_function.hgt
GETNOTE				getnote_function.hgt
GETOPERATORID		getoperatorid_function.hgt
GETORIENTATION		screen_orientation.hgt
GETRECORD			getrecord_function.hgt
GETSYMBOL			getsymbol_function.hgt
GETUSERNAME			getusername_function.hgt
GPS					gps_function.hgt
HIGH				high_function.hgt
HIGHLIGHTED			highlighted_function.hgt
INC					inc_function.hgt
INSERT				insert_function.hgt
INT					int_function.hgt
INVALUESET			invalueset_function.hgt
IOERROR				deprecated_features.hgt
ISPARTIAL			ispartial_function.hgt
ITEMLIST
KEY					key_function.hgt
LENGTH				length_function.hgt
LOADCASE			loadcase_function.hgt
LOCATE				locate_function.hgt
LOG					log_function.hgt
LOW					low_function.hgt
MAKETEXT			maketext_function.hgt
MAX					max_function.hgt
MAXOCC				maxocc_function.hgt
MAXVALUE			maxvalue_function.hgt
MIN					min_function.hgt
MINVALUE			minvalue_function.hgt
NMEMBERS			nmembers_function.hgt
NOCCURS				noccurs_function.hgt
OPEN				open_function.hgt
PATHNAME			pathname_function.hgt
POS					pos_function.hgt
POSCHAR				poschar_function.hgt
PUTDECK				putdeck_function.hgt
PUTNOTE				putnote_function.hgt
RANDOM				random_function.hgt
RANDOMIN			randomin_function.hgt
RANDOMIZEVS			randomizevs_function.hgt
RECORD
RETRIEVE			retrieve_function.hgt
SAVEPARTIAL			savepartial_function.hgt
SEED				seed_function.hgt
SEEK				seek_function.hgt
SELCASE				selcase_function.hgt
SETCAPTUREPOS		setcapturepos_function.hgt
SETCAPTURETYPE		setcapturetype_function.hgt
SETFILE				setfile_function.hgt
SETFONT				setfont_function.hgt
SETLANGUAGE			setlanguage_function.hgt
SETLB				setlb_function.hgt
SETORIENTATION		screen_orientation.hgt
SETUB				setub_function.hgt
SETVALUESET			setvalueset_function.hgt
SETVALUESETS		setvaluesets_function.hgt
SHOW				show_function.hgt
SOCCURS				soccurs_function.hgt
SORT				sort_function.hgt
SPECIAL				special_function.hgt
SQRT				sqrt_function.hgt
STRIP				strip_function.hgt
SUM					sum_function.hgt
SWAP				swap_function.hgt
SYSDATE				sysdate_function.hgt
SYSPARM				sysparm_function.hgt
SYSTIME				systime_function.hgt
TBLCOL
TBLLAY
TBLMED
TBLROW
TBLSUM
TOLOWER				tolower_function.hgt
TONUMBER			tonumber_function.hgt
TOTOCC				totocc_function.hgt
TOUPPER				toupper_function.hgt
TRACE				trace_function.hgt
UPDATE
USERBAR				userbar_function.hgt
VISUALVALUE			visualvalue_function.hgt
WRITE				write_function.hgt
WRITECASE			writecase_function.hgt
XTAB

# Keywords
ADD
ADVANCE				advance_statement.hgt
ALL
ALPHA				alpha_statement.hgt
AND					operators.hgt
ARRAY				array_statement.hgt
ASCENDING
BOX					recode_statement.hgt
BREAK				break_statement.hgt
BY
CASE
CASE_ID
CELL
COLUMN
CROSSTAB
DECLARE
DEFAULT				special_values.hgt
DESCENDING
DISJOINT
DO					do_statement.hgt
ELSE				if_statement.hgt
ELSEIF				if_statement.hgt
END					function_statement.hgt
ENDBOX				recode_statement.hgt
ENDCASE				endcase_statement.hgt
ENDDO				do_statement.hgt
ENDFOR				for_statement.hgt
ENDGROUP			endgroup_statement.hgt
ENDIF				if_statement.hgt
ENDLEVEL			endlevel_statement.hgt
ENDLOGIC
ENDRECODE			recode_statement.hgt
ENDSECT				deprecated_features.hgt
ENDUNIT
ENTER				enter_statement.hgt
EXCLUDE
EXIT				exit_statement.hgt
EXPORT				export_statement.hgt
FILE				file_statement.hgt
FLOAT
FOR					for_statement.hgt
FREQ
FREQUENCY
FUNCTION			function_statement.hgt
GROUP
HIGHEST
HOTDECK
IF					if_statement.hgt
IMPUTE				impute_function.hgt
IN					in_operator.hgt
INCLUDE
INTERVALS
ISSA
ITEM
KILLFOCUS			killfocus_statement.hgt
LAYER
LEVEL
LEVELID
LINKED
LINT
LOCKED
LOWERS
MEAN
MISSING				special_values.hgt
MODIFY
MOVE				move_statement.hgt
MULTIPLE
NEXT				next_statement.hgt
NOAUTO
NOBREAK
NOFREQ
NOINPUT				noinput_statement.hgt
NOPRINT
NOT					operators.hgt
NOTAPPL				special_values.hgt
NUMERIC				numeric_statement.hgt
ONFOCUS				onfocus_statement.hgt
ONOCCCHANGE			onoccchange_statement.hgt
OR					operators.hgt
PAGE
POSTCALC
POSTPROC			postproc_statement.hgt
PREPROC				preproc_statement.hgt
REC_NAME
REC_TYPE
RECODE				recode_statement.hgt
REENTER				reenter_statement.hgt
RELATION			relation_statement.hgt
ROW
SAVE
SELECT
SET					set_statement.hgt
SINT
SKIP				skip_statement.hgt
SMEAN
STABLE
STAT
STATISTICS
STOP				stop_function.hgt
STUB
SUBTABLE
TABLE
TABLOGIC
TALLY
THEN				if_statement.hgt
TITLE
TO
UNDEFINED
UNIT
UNIVERSE			universe_statement.hgt
UNTIL
USING
VARYING
VERIFY
VSET
WEIGHTED
WHERE
WHILE				while_statement.hgt
WRITEFORM			deprecated_features.hgt

# Other Words
CONFIRM
DENOM
EXPLICIT
FORMAT
GLOBAL				cspro_program_structure.hgt
IMPLICIT
NOCONFIRM
OUTOFRANGE
PROC				proc_statement.hgt
SPECIALVALUES
